Solomonides,Pepita,Female,Red,2002-05-13
Haulkham,Codie,Female,Orange,1972-12-21
Jonuzi,Teddy,Male,Yellow,1983-07-04
Branwhite,Eleanora,Female,Yellow,1967-11-19
Martyns,Viki,Female,Violet,2008-06-01
Schukraft,Iorgos,Male,Red,1971-12-14
Wigglesworth,Irwinn,Male,Indigo,1973-03-07
Elegood,Dalenna,Female,Violet,1979-12-07
Morhall,Joanie,Female,Pink,1992-09-30
Goede,Olivette,Female,Khaki,2010-12-21
Spurdle,Avigdor,Male,Blue,1977-07-16
Greenrodd,Brittany,Female,Green,2009-03-31
Scoggins,Tatiania,Female,Goldenrod,2014-08-21
Loveard,Ludovico,Male,Orange,2010-02-14
Pettisall,Gerick,Male,Teal,1971-02-16
Bamlet,Sloan,Male,Blue,1992-09-07
Goddard,Joli,Female,Yellow,2005-11-19
Oliveti,Abbott,Male,Crimson,1975-12-24
Courtney,Belle,Female,Yellow,2013-09-20
Shakesbye,Evelyn,Male,Fuscia,2017-09-22
Iacobacci,Annnora,Female,Teal,1990-12-04
Idwal Evans,Lowe,Male,Pink,1977-12-27
Clara,Tome,Male,Purple,2008-01-18
Platt,Maxy,Male,Goldenrod,1983-05-12
Waitland,Anne-marie,Female,Goldenrod,1992-04-24
Mordin,Mariann,Female,Goldenrod,1980-06-15
Fonquernie,Timothea,Female,Green,2017-11-27
Budnik,Dido,Female,Aquamarine,1998-03-03
Bryan,Carny,Male,Yellow,1998-05-11
Archdeckne,Willy,Male,Indigo,1993-11-07
Jeanes,Hilton,Male,Fuscia,1967-04-25
Brodeur,Giulio,Male,Puce,2004-05-02
Lethieulier,Ernestine,Female,Fuscia,1989-04-27
Calbert,Isahella,Female,Violet,1980-02-07
Bawdon,Lynelle,Female,Fuscia,1989-05-07
Hebard,Granger,Male,Mauv,1973-02-17
Petel,Burk,Male,Yellow,2011-09-26
Meak,Chandler,Male,Goldenrod,1977-08-26
Flintoff,Kirby,Male,Yellow,1972-09-12
Colebrook,Skipton,Male,Violet,1999-02-25
Conklin,Chick,Male,Purple,2017-07-26
Downing,Nilson,Male,Fuscia,1984-04-03
Takle,Faye,Female,Puce,2010-12-21
Nannini,Lanny,Female,Aquamarine,1985-09-05
